COLUMN 1: Name of Issuer	COLUMN 2: Title of Class	COLUMN 3: CUSIP Number	COLUMN 4: Market Value	COLUMN 5: Amount and Type of Security	 	 	COLUMN 6: Investment Discretion	COLUMN 7: Other Managers	COLUMN 8: Voting Authority	 	 
nameOfIssuer	titleOfClass	cusip	value (x$1000)	sshPrnamt	sshPrnamtType	putCall	investmentDiscretion	otherManager	Sole	Shared	None
21VIANET GROUP INC	SPONSORED ADS A	90138A103	262	33682	SH		DFND	01, 02	33682	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	409	52500	SH	Call	DFND	01, 02	52500	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	4253	546000	SH	Put	DFND	01, 02	546000	0	0
3-D SYS CORP DEL 	COM NEW	88554D205	1972	216700	SH	Call	DFND	01, 02	216700	0	0
3-D SYS CORP DEL 	COM NEW	88554D205	362	39800	SH	Put	DFND	01, 02	39800	0	0
3M CO 	COM	88579Y101	447	2577	SH		DFND	01, 02	2577	0	0
3M CO 	COM	88579Y101	208	1200	SH	Call	DFND	01, 02	1200	0	0
3M CO 	COM	88579Y101	1369	7900	SH	Put	DFND	01, 02	7900	0	0
58 COM INC	SPON ADR REP A	31680Q104	506	8138	SH		DFND	01, 02	8138	0	0
58 COM INC	SPON ADR REP A	31680Q104	1828	29400	SH	Call	DFND	01, 02	29400	0	0
58 COM INC	SPON ADR REP A	31680Q104	3208	51600	SH	Put	DFND	01, 02	51600	0	0
A10 NETWORKS INC	COM	002121101	2208	323775	SH		DFND	01, 02	323775	0	0
A10 NETWORKS INC	COM	002121101	2647	388100	SH	Put	DFND	01, 02	388100	0	0
AAR CORP	COM	000361105	268	7294	SH		DFND	01, 02	7294	0	0
AAR CORP	COM	000361105	699	19000	SH	Call	DFND	01, 02	19000	0	0
AAR CORP	COM	000361105	2163	58800	SH	Put	DFND	01, 02	58800	0	0
AARONS INC 	COM PAR $0.50	002535300	1333	21711	SH		DFND	01, 02	21711	0	0
ABBOTT LABS 	COM	002824100	9470	112600	SH	Call	DFND	01, 02	112600	0	0
ABBOTT LABS 	COM	002824100	135	1600	SH	Put	DFND	01, 02	1600	0	0
ABBVIE INC 	COM	00287Y109	15840	217818	SH		DFND	01, 02	217818	0	0
ABBVIE INC 	COM	00287Y109	2618	36000	SH	Call	DFND	01, 02	36000	0	0
ABBVIE INC 	COM	00287Y109	36193	497700	SH	Put	DFND	01, 02	497700	0	0
ABIOMED INC 	COM	003654100	5026	19295	SH		DFND	01, 02	19295	0	0
ABIOMED INC 	COM	003654100	2084	8000	SH	Call	DFND	01, 02	8000	0	0
ABIOMED INC 	COM	003654100	20683	79400	SH	Put	DFND	01, 02	79400	0	0
ABM INDS INC	COM	000957100	412	10300	SH	Call	DFND	01, 02	10300	0	0
ACACIA COMMUNICATIONS INC 	COM	00401C108	3328	70569	SH		DFND	01, 02	70569	0	0
ACACIA COMMUNICATIONS INC 	COM	00401C108	594	12600	SH	Call	DFND	01, 02	12600	0	0
ACACIA COMMUNICATIONS INC 	COM	00401C108	7423	157400	SH	Put	DFND	01, 02	157400	0	0
ACADIA HEALTHCARE COMPANY IN 	COM	00404A109	2621	75000	SH	Call	DFND	01, 02	75000	0	0
ACCENTURE PLC IRELAND 	SHS CLASS A	G1151C101	607	3286	SH		DFND	01, 02	3286	0	0
ACCENTURE PLC IRELAND 	SHS CLASS A	G1151C101	998	5400	SH	Call	DFND	01, 02	5400	0	0
ACCO BRANDS CORP	COM	00081T108	417	52933	SH		DFND	01, 02	52933	0	0
ACTIVISION BLIZZARD INC 	COM	00507V109	13699	290232	SH		DFND	01, 02	290232	0	0
